date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2024-01-02,C,2491.43,c2401,2400.0,c2405,2424.0,2401,2405,-91.42999999999984,-67.42999999999984,-0.036697800058600794,-0.027064778059186834
2024-01-02,A,4800.0,a2401,4903.0,a2403,4930.0,2401,2403,103.0,130.0,0.021458333333333357,0.027083333333333348
2024-01-02,M,3902.0,m2401,3770.0,m2405,3248.0,2401,2405,-132.0,-654.0,-0.03382880574064584,-0.16760635571501792
2024-01-02,Y,8052.0,y2401,7668.0,y2405,7468.0,2401,2405,-384.0,-584.0,-0.04769001490312963,-0.07252856433184307
2024-01-02,P,7106.0,p2401,6982.0,p2405,7062.0,2401,2405,-124.0,-44.0,-0.017450042217844075,-0.006191950464396245
2024-01-02,JD,4340.0,jd2401,3794.0,jd2403,3567.0,2401,2403,-546.0,-773.0,-0.12580645161290327,-0.17811059907834104
2024-01-02,L,8254.29,l2401,8103.0,l2405,8223.0,2401,2405,-151.29000000000087,-31.290000000000873,-0.018328650919703704,-0.0037907560795660267
2024-01-02,V,5628.0,v2401,5637.0,v2405,5920.0,2401,2405,9.0,292.0,0.0015991471215350828,0.051883439943141374
2024-01-02,PP,7628.57,pp2401,7440.0,pp2405,7492.0,2401,2405,-188.5699999999997,-136.5699999999997,-0.024718918486688835,-0.017902437809445226
2024-01-02,J,2430.0,j2401,2512.0,j2405,2539.5,2401,2405,82.0,109.5,0.0337448559670781,0.04506172839506162
2024-01-02,JM,2450.0,jm2401,2000.0,jm2405,1930.0,2401,2405,-450.0,-520.0,-0.18367346938775508,-0.21224489795918366
2024-01-02,I,1056.78,i2401,1061.0,i2405,1002.0,2401,2405,4.220000000000027,-54.77999999999997,0.003993262552281385,-0.0518367115199001
2024-01-02,EG,4373.33,eg2401,4431.0,eg2405,4579.0,2401,2405,57.67000000000007,205.67000000000007,0.013186747855753023,0.047028237064205
2024-01-02,EB,8440.0,eb2401,8494.0,eb2402,8618.0,2401,2402,54.0,178.0,0.006398104265402882,0.02109004739336484
2024-01-02,PG,4926.0,pg2401,4880.0,pg2402,4980.0,2401,2402,-46.0,54.0,-0.009338205440519665,0.010962241169305775
2024-01-02,LH,14370.0,lh2401,13535.0,lh2403,13830.0,2401,2403,-835.0,-540.0,-0.058107167710508056,-0.0375782881002088
2024-01-02,WH,2880.0,WH401,3198.0,WH411,3198.0,2401,2411,318.0,318.0,0.11041666666666661,0.11041666666666661
2024-01-02,PM,2838.0,PM401,3122.0,PM411,3122.0,2401,2411,284.0,284.0,0.10007047216349552,0.10007047216349552
2024-01-02,CF,16440.67,CF401,15500.0,CF405,15600.0,2401,2405,-940.6699999999983,-840.6699999999983,-0.05721603803251318,-0.05113356085852938
2024-01-02,SR,6706.0,SR401,6370.0,SR405,6304.0,2401,2405,-336.0,-402.0,-0.050104384133611735,-0.059946316731285365
