仓库编号,仓库简称,仓单数量(保税),receipt,date,variety,仓库/厂库
0803,南通千红,0,0,2024-01-15,MA,
0807,江苏海企,0,0,2024-01-15,MA,
0809,中原大化（厂库）,0,0,2024-01-15,MA,
0810,兖矿煤化（厂库）,0,0,2024-01-15,MA,
0811,联泓化学（厂库）,0,0,2024-01-15,MA,
0815,东莞百安,0,0,2024-01-15,MA,
0817,广州碧辟,0,0,2024-01-15,MA,
0818,定州天鹭（厂库）,0,0,2024-01-15,MA,
0820,新能能源（厂库）,0,0,2024-01-15,MA,
0821,南通阳鸿,0,0,2024-01-15,MA,
0823,常州建滔,0,0,2024-01-15,MA,
0824,江苏德桥,0,0,2024-01-15,MA,
0825,长江国际,0,0,2024-01-15,MA,
0828,长江石化,0,0,2024-01-15,MA,
0829,扬州石化,0,0,2024-01-15,MA,
0830,连云港荣泰,0,0,2024-01-15,MA,
0831,京唐港,0,0,2024-01-15,MA,
0832,上期资本（厂库）,0,0,2024-01-15,MA,
0833,杭实化工（厂库）,0,3000,2024-01-15,MA,
小计,,0,3000,2024-01-15,MA,
0834,海油富岛（厂库）,0,0,2024-01-15,MA,
0835,南京诚志（厂库）,0,0,2024-01-15,MA,
0836,金桥化工（厂库）,0,0,2024-01-15,MA,
0837,扬州恒基达鑫,0,0,2024-01-15,MA,
0838,东莞九丰,0,500,2024-01-15,MA,
小计,,0,500,2024-01-15,MA,
0839,中基石化（厂库）,0,0,2024-01-15,MA,
0840,盛虹科技（厂库）,0,0,2024-01-15,MA,
0841,国贸石化（厂库）,0,2461,2024-01-15,MA,
小计,,0,2461,2024-01-15,MA,
0842,南华资本（厂库）,0,0,2024-01-15,MA,
0843,新湖瑞丰（厂库）,0,0,2024-01-15,MA,
0844,浙期实业（厂库）,0,0,2024-01-15,MA,
0845,江苏丽天,0,0,2024-01-15,MA,
0846,中化化销（厂库）,0,0,2024-01-15,MA,
0922,永安资本（厂库）,0,0,2024-01-15,MA,
总计,,0,5961,2024-01-15,MA,
,,,5961,2024-01-15,MA,
0803,南通千红,0,0,2024-02-01,MA,
0807,江苏海企,0,0,2024-02-01,MA,
0809,中原大化（厂库）,0,0,2024-02-01,MA,
0810,兖矿煤化（厂库）,0,0,2024-02-01,MA,
0811,联泓化学（厂库）,0,0,2024-02-01,MA,
0815,东莞百安,0,0,2024-02-01,MA,
0817,广州碧辟,0,0,2024-02-01,MA,
0818,定州天鹭（厂库）,0,0,2024-02-01,MA,
0820,新能能源（厂库）,0,0,2024-02-01,MA,
0821,南通阳鸿,0,0,2024-02-01,MA,
0823,常州建滔,0,0,2024-02-01,MA,
0824,江苏德桥,0,0,2024-02-01,MA,
0825,长江国际,0,0,2024-02-01,MA,
0828,长江石化,0,0,2024-02-01,MA,
0829,扬州石化,0,0,2024-02-01,MA,
0830,连云港荣泰,0,0,2024-02-01,MA,
0831,京唐港,0,0,2024-02-01,MA,
0832,上期资本（厂库）,0,0,2024-02-01,MA,
0833,杭实化工（厂库）,0,3000,2024-02-01,MA,
小计,,0,3000,2024-02-01,MA,
0834,海油富岛（厂库）,0,0,2024-02-01,MA,
0835,南京诚志（厂库）,0,0,2024-02-01,MA,
0836,金桥化工（厂库）,0,0,2024-02-01,MA,
0837,扬州恒基达鑫,0,0,2024-02-01,MA,
0838,东莞九丰,0,300,2024-02-01,MA,
小计,,0,300,2024-02-01,MA,
0839,中基石化（厂库）,0,0,2024-02-01,MA,
0840,盛虹科技（厂库）,0,0,2024-02-01,MA,
0841,国贸石化（厂库）,0,2167,2024-02-01,MA,
小计,,0,2167,2024-02-01,MA,
0842,南华资本（厂库）,0,0,2024-02-01,MA,
0843,新湖瑞丰（厂库）,0,0,2024-02-01,MA,
0844,浙期实业（厂库）,0,0,2024-02-01,MA,
0845,江苏丽天,0,0,2024-02-01,MA,
0846,中化化销（厂库）,0,0,2024-02-01,MA,
0922,永安资本（厂库）,0,0,2024-02-01,MA,
总计,,0,5467,2024-02-01,MA,
,,,5467,2024-02-01,MA,
0803,南通千红,0,0,2024-03-01,MA,
0807,江苏海企,0,0,2024-03-01,MA,
0809,中原大化（厂库）,0,0,2024-03-01,MA,
0810,兖矿煤化（厂库）,0,0,2024-03-01,MA,
0811,联泓化学（厂库）,0,0,2024-03-01,MA,
0815,东莞百安,0,0,2024-03-01,MA,
0817,广州碧辟,0,0,2024-03-01,MA,
0818,定州天鹭（厂库）,0,0,2024-03-01,MA,
0820,新能能源（厂库）,0,0,2024-03-01,MA,
0821,南通阳鸿,0,0,2024-03-01,MA,
0823,常州建滔,0,0,2024-03-01,MA,
0824,江苏德桥,0,0,2024-03-01,MA,
小计,,0,0,2024-03-01,MA,
0825,长江国际,0,0,2024-03-01,MA,
0828,长江石化,0,0,2024-03-01,MA,
0829,扬州石化,0,0,2024-03-01,MA,
0830,连云港荣泰,0,0,2024-03-01,MA,
0831,京唐港,0,0,2024-03-01,MA,
0832,上期资本（厂库）,0,0,2024-03-01,MA,
0833,杭实化工（厂库）,0,3000,2024-03-01,MA,
小计,,0,3000,2024-03-01,MA,
0834,海油富岛（厂库）,0,0,2024-03-01,MA,
0835,南京诚志（厂库）,0,537,2024-03-01,MA,
小计,,0,537,2024-03-01,MA,
0836,金桥化工（厂库）,0,0,2024-03-01,MA,
0837,扬州恒基达鑫,0,0,2024-03-01,MA,
0838,东莞九丰,0,78,2024-03-01,MA,
小计,,0,78,2024-03-01,MA,
0839,中基石化（厂库）,0,0,2024-03-01,MA,
0840,盛虹科技（厂库）,0,0,2024-03-01,MA,
0841,国贸石化（厂库）,0,1589,2024-03-01,MA,
小计,,0,1589,2024-03-01,MA,
0842,南华资本（厂库）,0,0,2024-03-01,MA,
0843,新湖瑞丰（厂库）,0,0,2024-03-01,MA,
0844,浙期实业（厂库）,0,0,2024-03-01,MA,
0845,江苏丽天,0,0,2024-03-01,MA,
0846,中化化销（厂库）,0,0,2024-03-01,MA,
0922,永安资本（厂库）,0,0,2024-03-01,MA,
总计,,0,5204,2024-03-01,MA,
,,,5204,2024-03-01,MA,
0803,南通千红,0,0,2024-03-15,MA,
0807,江苏海企,0,0,2024-03-15,MA,
0809,中原大化（厂库）,0,1652,2024-03-15,MA,
小计,,0,1652,2024-03-15,MA,
0810,兖矿煤化（厂库）,0,0,2024-03-15,MA,
0811,联泓化学（厂库）,0,0,2024-03-15,MA,
0815,东莞百安,0,0,2024-03-15,MA,
0817,广州碧辟,0,0,2024-03-15,MA,
0818,定州天鹭（厂库）,0,200,2024-03-15,MA,
小计,,0,200,2024-03-15,MA,
0820,新能能源（厂库）,0,0,2024-03-15,MA,
0821,南通阳鸿,0,0,2024-03-15,MA,
0823,常州建滔,0,0,2024-03-15,MA,
0824,江苏德桥,0,870,2024-03-15,MA,
小计,,0,870,2024-03-15,MA,
0825,长江国际,0,0,2024-03-15,MA,
0828,长江石化,0,0,2024-03-15,MA,
0829,扬州石化,0,0,2024-03-15,MA,
0830,连云港荣泰,0,0,2024-03-15,MA,
0831,京唐港,0,0,2024-03-15,MA,
0832,上期资本（厂库）,0,1479,2024-03-15,MA,
小计,,0,1479,2024-03-15,MA,
0833,杭实化工（厂库）,0,3000,2024-03-15,MA,
小计,,0,3000,2024-03-15,MA,
0834,海油富岛（厂库）,0,0,2024-03-15,MA,
0835,南京诚志（厂库）,0,0,2024-03-15,MA,
0836,金桥化工（厂库）,0,0,2024-03-15,MA,
0837,扬州恒基达鑫,0,0,2024-03-15,MA,
0838,东莞九丰,0,0,2024-03-15,MA,
0839,中基石化（厂库）,0,0,2024-03-15,MA,
0840,盛虹科技（厂库）,0,0,2024-03-15,MA,
0841,国贸石化（厂库）,0,1913,2024-03-15,MA,
小计,,0,1913,2024-03-15,MA,
0842,南华资本（厂库）,0,0,2024-03-15,MA,
0843,新湖瑞丰（厂库）,0,0,2024-03-15,MA,
0844,浙期实业（厂库）,0,0,2024-03-15,MA,
0845,江苏丽天,0,0,2024-03-15,MA,
0846,中化化销（厂库）,0,0,2024-03-15,MA,
0922,永安资本（厂库）,0,0,2024-03-15,MA,
总计,,0,9114,2024-03-15,MA,
,,,9114,2024-03-15,MA,
0803,南通千红,0,0,2024-04-01,MA,
0807,江苏海企,0,0,2024-04-01,MA,
0809,中原大化（厂库）,0,144,2024-04-01,MA,
小计,,0,144,2024-04-01,MA,
0810,兖矿煤化（厂库）,0,0,2024-04-01,MA,
0811,联泓化学（厂库）,0,0,2024-04-01,MA,
0815,东莞百安,0,0,2024-04-01,MA,
0817,广州碧辟,0,0,2024-04-01,MA,
0818,定州天鹭（厂库）,0,200,2024-04-01,MA,
小计,,0,200,2024-04-01,MA,
0820,新能能源（厂库）,0,0,2024-04-01,MA,
0821,南通阳鸿,0,0,2024-04-01,MA,
0823,常州建滔,0,0,2024-04-01,MA,
0824,江苏德桥,0,130,2024-04-01,MA,
小计,,0,130,2024-04-01,MA,
0825,长江国际,0,0,2024-04-01,MA,
0828,长江石化,0,0,2024-04-01,MA,
0829,扬州石化,0,0,2024-04-01,MA,
0830,连云港荣泰,0,0,2024-04-01,MA,
0831,京唐港,0,0,2024-04-01,MA,
0832,上期资本（厂库）,0,1479,2024-04-01,MA,
小计,,0,1479,2024-04-01,MA,
0833,杭实化工（厂库）,0,3000,2024-04-01,MA,
小计,,0,3000,2024-04-01,MA,
0834,海油富岛（厂库）,0,0,2024-04-01,MA,
0835,南京诚志（厂库）,0,0,2024-04-01,MA,
0836,金桥化工（厂库）,0,0,2024-04-01,MA,
0837,扬州恒基达鑫,0,0,2024-04-01,MA,
0838,东莞九丰,0,0,2024-04-01,MA,
0839,中基石化（厂库）,0,0,2024-04-01,MA,
0840,盛虹科技（厂库）,0,0,2024-04-01,MA,
0841,国贸石化（厂库）,0,1913,2024-04-01,MA,
小计,,0,1913,2024-04-01,MA,
0842,南华资本（厂库）,0,0,2024-04-01,MA,
0843,新湖瑞丰（厂库）,0,0,2024-04-01,MA,
0844,浙期实业（厂库）,0,0,2024-04-01,MA,
0845,江苏丽天,0,0,2024-04-01,MA,
0846,中化化销（厂库）,0,0,2024-04-01,MA,
0922,永安资本（厂库）,0,0,2024-04-01,MA,
总计,,0,6866,2024-04-01,MA,
,,,6866,2024-04-01,MA,
